Name,Runs,Wickets,Balls Faced,Average,Strike Rate,wSR,wRC,wRC+,Runs Against,Wickets Taken,Balls Bowled,Bowling Average,Strike Rate Against,wSR Against,cAA,cAA+,,,,,,,,,
Nick Gubbins,219,17,197,12.88,111,-39,182,69,29,1,30,29,97,-0.22,27.16,120,,,,,,,,,
Nick Hobson,136,5,119,27.2,114,-9,145,91,0,0,0,-,-,-,-,-,,,,,,,,,
Nick Kelly,815,33,628,24.7,130,0,825,98,36,1,24,36,150,0.25,39.52,82,,,,,,,,,
Nick Kwant,89,7,78,12.71,114,-38,73,70,0,0,0,-,-,-,-,-,,,,,,,,,
Nick Larkin,708,22,607,32.18,117,-3,779,96,0,0,0,-,-,-,-,-,,,,,,,,,
Nick Welch,269,10,206,26.9,131,3,277,100,0,0,0,-,-,-,-,-,,,,,,,,,
Nick Winter,0,2,3,0,0,-499,-11,-274,54,0,42,-,129,0.3,41.12,79,,,,,,,,,
Nico Reifer,4,2,4,2,100,-300,-7,-125,0,0,0,-,-,-,-,-,,,,,,,,,
Nikhil Naik,8,2,19,4,42,-116,3,12,0,0,0,-,-,-,-,-,,,,,,,,,
Nitish Rana,2082,76,1568,27.39,133,5,2144,102,170,7,120,24.29,142,0.08,34.16,95,,,,,,,,,
Noor Ahmad,22,3,15,7.33,147,-74,9,42,391,8,318,48.88,123,0.1,36.8,89,,,,,,,,,
Noor Ali Zadran,35,1,19,35,184,55,35,139,0,0,0,-,-,-,-,-,,,,,,,,,
Nurul Hasan,178,12,159,14.83,112,-33,157,74,0,0,0,-,-,-,-,-,,,,,,,,,
Nuwan Kulasekara,22,1,21,22,105,-21,23,82,216,10,162,21.6,133,-0.04,31.75,103,,,,,,,,,
O Thomas,9,4,15,2.25,60,-196,-10,-48,581,21,396,27.67,147,0.16,37.51,87,,,,,,,,,
Obed McCoy,50,7,48,7.14,104,-81,24,37,649,42,500,15.45,130,-0.2,29.15,112,,,,,,,,,
Odean Smith,104,8,78,13,133,-27,81,78,440,14,240,31.43,183,0.48,44.58,73,,,,,,,,,
Oliver Carter,2,2,8,1,25,-221,-7,-67,0,0,0,-,-,-,-,-,,,,,,,,,
Oliver Davies,139,11,97,12.64,143,-25,103,79,0,0,0,-,-,-,-,-,,,,,,,,,
Oliver Hannon-Dalby,25,0,15,-,167,68,30,149,607,31,402,19.58,151,0.05,34.12,96,,,,,,,,,
Ollie Newton,65,8,70,8.12,93,-74,40,43,783,36,578,21.75,135,-0.01,32.55,100,,,,,,,,,
Ollie Pope,921,28,682,32.89,135,10,968,106,0,0,0,-,-,-,-,-,,,,,,,,,
Ollie Robinson,469,25,383,18.76,122,-16,443,86,0,0,0,-,-,-,-,-,,,,,,,,,
Ollie Robinson,63,7,51,9,124,-60,37,53,735,26,528,28.27,139,0.11,35.05,93,,,,,,,,,
Ollie Sale,19,1,16,19,119,-19,18,84,248,13,160,19.08,155,0.07,34.87,93,,,,,,,,,
Olly Pringle,3,1,6,3,50,-163,-2,-23,82,2,48,41,171,0.46,45.59,72,,,,,,,,,
Olly Stone,65,4,58,16.25,112,-28,60,77,830,43,630,19.3,132,-0.08,31.31,104,,,,,,,,,
Olly Westbury,24,1,15,24,160,22,23,114,0,0,0,-,-,-,-,-,,,,,,,,,
Owen Morgan,59,5,63,11.8,94,-51,51,60,37,0,30,-,123,0.24,38.18,85,,,,,,,,,
P Hatzoglou,18,4,28,4.5,64,-122,3,7,700,32,577,21.88,121,-0.11,31,105,,,,,,,,,
P Jayawickrama,0,0,5,-,0,-91,2,30,75,1,55,75,136,0.26,37.8,86,,,,,,,,,
P Nissanka,521,17,433,30.65,120,-2,560,96,0,0,0,-,-,-,-,-,,,,,,,,,
PADLR Sandakan,23,3,38,7.67,61,-83,18,36,532,24,460,22.17,116,-0.14,29.41,111,,,,,,,,,
Parthiv Patel,912,37,662,24.65,138,6,908,102,0,0,0,-,-,-,-,-,,,,,,,,,
Parvez Rasool,5,0,6,-,83,-15,7,87,32,1,24,32,133,0.09,33.61,97,,,,,,,,,
Pat Brown,54,4,75,13.5,72,-59,54,54,1749,86,1220,20.34,143,0.01,33.5,97,,,,,,,,,
Pat Cummins,480,24,310,20,155,8,431,104,1807,76,1397,23.78,129,-0.02,32.37,101,,,,,,,,,
Patrick Dooley,4,1,3,4,133,-165,-1,-25,25,0,24,-,104,0.06,33.03,99,,,,,,,,,
Patrick Rowe,3,1,6,3,50,-148,-1,-12,0,0,0,-,-,-,-,-,,,,,,,,,
Paul Collingwood,563,19,456,29.63,123,-1,595,97,577,19,456,30.37,127,0.02,32.52,100,,,,,,,,,
Paul Coughlin,572,27,442,21.19,129,-7,550,93,945,39,614,24.23,154,0.17,37.19,88,,,,,,,,,
