Name,Runs,Wickets,Balls Faced,Average,Strike Rate,wSR,wRC,wRC+,Runs Against,Wickets Taken,Balls Bowled,Bowling Average,Strike Rate Against,wSR Against,cAA,cAA+,,,,,,,,,
TE Albert,97,5,88,19.4,110,-22,96,81,0,0,0,-,-,-,-,-,,,,,,,,,
TE Lawes,6,1,11,6,55,-97,4,26,34,0,18,-,189,0.88,53.94,60,,,,,,,,,
Teja Nidamanuru,6,0,4,-,150,52,7,136,98,2,60,49,163,0.44,43.23,75,,,,,,,,,
Tejas Baroka,0,0,0,-,-,-,-,-,33,0,21,-,157,0.58,45.38,72,,,,,,,,,
Thilan Walallawita,22,3,16,7.33,138,-75,9,42,285,11,210,25.91,136,0.05,32.84,99,,,,,,,,,
Thisara Perera,544,30,377,18.13,144,-3,484,95,1058,44,697,24.05,152,0.13,35.69,91,,,,,,,,,
Thomas Bevan,25,2,25,12.5,100,-45,22,65,0,0,0,-,-,-,-,-,,,,,,,,,
Thomas Rogers,32,1,25,32,128,7,35,103,0,0,0,-,-,-,-,-,,,,,,,,,
Thomas Rogers,76,7,79,10.86,96,-55,61,57,691,30,518,23.03,133,-0.01,32.1,102,,,,,,,,,
Thomas Wood,242,5,190,48.4,127,13,275,108,0,0,0,-,-,-,-,-,,,,,,,,,
Tilak Varma,397,9,302,44.11,131,15,441,109,13,0,12,-,108,0.12,34.38,95,,,,,,,,,
Tim Ambrose,78,5,76,15.6,103,-35,73,72,0,0,0,-,-,-,-,-,,,,,,,,,
Tim Bresnan,447,21,335,21.29,133,-4,428,95,1390,77,984,18.05,141,-0.05,30.98,105,,,,,,,,,
Tim David,1663,59,972,28.19,171,34,1607,123,359,7,244,51.29,147,0.3,40.16,81,,,,,,,,,
Tim Groenewald,18,7,30,2.57,60,-177,-14,-34,441,21,324,21,136,-0.02,31.88,102,,,,,,,,,
Tim Johnston,74,5,56,14.8,132,-21,62,82,228,9,192,25.33,119,-0.08,30.16,108,,,,,,,,,
Tim Ludeman,149,10,129,14.9,116,-30,131,76,0,0,0,-,-,-,-,-,,,,,,,,,
Tim Murtagh,0,1,1,0,0,-703,-6,-426,132,6,126,22,105,-0.22,26.73,122,,,,,,,,,
Tim Paine,81,8,90,10.12,90,-60,64,53,0,0,0,-,-,-,-,-,,,,,,,,,
Tim Seifert,2100,71,1595,29.58,132,7,2202,103,0,0,0,-,-,-,-,-,,,,,,,,,
Tim Southee,356,25,263,14.24,135,-21,290,82,2657,115,1979,23.1,134,0.01,32.76,100,,,,,,,,,
Timm van der Gugten,134,6,98,22.33,137,0,129,98,947,44,648,21.52,146,0.06,33.72,97,,,,,,,,,
TJ Prest,451,19,370,23.74,122,-7,459,92,42,2,36,21,117,-0.15,28.61,114,,,,,,,,,
TJ Price,0,0,0,-,-,-,-,-,13,0,12,-,108,0.1,40.04,81,,,,,,,,,
TK Musakanda,197,12,164,16.42,120,-23,178,81,0,0,0,-,-,-,-,-,,,,,,,,,
TL Chatara,10,2,18,5,56,-108,4,17,291,14,216,20.79,135,-0.03,32.13,101,,,,,,,,,
TL Greatwood,0,0,0,-,-,-,-,-,65,1,42,65,155,0.4,43.54,75,,,,,,,,,
Toby Lester,1,2,5,0.5,20,-318,-9,-139,260,14,196,18.57,133,-0.08,30.6,107,,,,,,,,,
Toby Roland-Jones,146,11,130,13.27,112,-39,120,69,643,34,445,18.91,144,-0.01,32.37,101,,,,,,,,,
Todd Astle,130,6,114,21.67,114,-18,130,85,827,29,730,28.52,113,-0.1,30.1,108,,,,,,,,,
Tom Abell,1449,37,989,39.16,147,24,1540,116,31,0,20,-,155,0.56,49.8,65,,,,,,,,,
Tom Alsop,943,36,771,26.19,122,-5,979,95,0,0,0,-,-,-,-,-,,,,,,,,,
Tom Andrews,3,0,4,-,75,-23,4,81,59,2,48,29.5,123,-0.02,31.11,105,,,,,,,,,
Tom Bailey,21,4,21,5.25,100,-119,3,9,345,16,246,21.56,140,0.02,34.16,95,,,,,,,,,
Tom Banton,1629,62,1104,26.27,148,15,1617,109,0,0,0,-,-,-,-,-,,,,,,,,,
Tom Barber,2,4,6,0.5,33,-484,-21,-263,298,8,161,37.25,185,0.56,48.76,67,,,,,,,,,
Tom Blundell,634,29,492,21.86,129,-6,619,94,0,0,0,-,-,-,-,-,,,,,,,,,
Tom Bruce,1543,56,1081,27.55,143,12,1553,107,178,7,129,25.43,138,0.05,33.4,98,,,,,,,,,
Tom Cooper,973,42,758,23.17,128,-3,971,95,292,6,210,48.67,139,0.23,37.16,88,,,,,,,,,
Tom Cullen,5,1,9,5,56,-109,2,17,0,0,0,-,-,-,-,-,,,,,,,,,
Tom Curran,806,35,596,23.03,135,0,785,98,2778,125,1952,22.22,142,0.04,33.61,97,,,,,,,,,
Tom Fell,69,8,78,8.62,88,-71,47,45,0,0,0,-,-,-,-,-,,,,,,,,,
Tom Haines,27,1,20,27,135,7,28,103,0,0,0,-,-,-,-,-,,,,,,,,,
Tom Hartley,61,6,51,10.17,120,-53,40,59,953,37,804,25.76,119,-0.09,30.49,107,,,,,,,,,
Tom Helm,131,9,125,14.56,105,-37,118,70,1486,66,1070,22.52,139,0.03,33.87,96,,,,,,,,,
Tom Kohler-Cadmore,1762,53,1279,33.25,138,14,1859,108,0,0,0,-,-,-,-,-,,,,,,,,,
Tom Lammonby,524,30,360,17.47,146,-6,453,94,368,11,252,33.45,146,0.21,37.82,86,,,,,,,,,
Tom Latham,1101,30,798,36.7,138,16,1180,110,0,0,0,-,-,-,-,-,,,,,,,,,
Tom MacRury,16,2,21,8,76,-77,11,40,0,0,0,-,-,-,-,-,,,,,,,,,
Tom Moores,1265,53,935,23.87,135,2,1250,100,0,0,0,-,-,-,-,-,,,,,,,,,
Tom O'Connell,12,2,17,6,71,-97,6,25,95,5,78,19,122,-0.17,28.17,116,,,,,,,,,
Tom Scriven,2,1,7,2,29,-152,-1,-16,8,0,6,-,133,0.34,39.83,82,,,,,,,,,
Tom Smith,72,5,83,14.4,87,-50,68,61,1332,51,1117,26.12,119,-0.07,30.13,108,,,,,,,,,
Tom Sole,91,4,95,22.75,96,-27,100,78,61,0,48,-,127,0.28,38.2,85,,,,,,,,,
Tom Taylor,202,14,164,14.43,123,-27,171,78,782,32,518,24.44,151,0.14,35.94,91,,,,,,,,,
Tom Wells,157,14,141,11.21,111,-47,119,63,41,1,22,41,186,0.57,47.49,69,,,,,,,,,
Tom Westley,1116,40,865,27.9,129,3,1160,100,14,1,12,14,117,-0.32,23.99,136,,,,,,,,,
Travis Dean,43,2,35,21.5,123,-11,42,90,0,0,0,-,-,-,-,-,,,,,,,,,
Travis Head,1369,46,1078,29.76,127,2,1444,100,430,16,318,26.88,135,0.05,33.83,96,,,,,,,,,
Travis Muller,3,1,4,3,75,-175,-2,-33,84,5,54,16.8,156,-0.02,33.26,98,,,,,,,,,
Trent Boult,77,7,67,11,115,-47,56,63,3072,130,2301,23.63,134,0.01,32.9,99,,,,,,,,,
Trent Lawford,2,1,5,2,40,-177,-2,-34,16,3,12,5.33,133,-1.27,0.96,3383,,,,,,,,,
Tristan Stubbs,2,1,4,2,50,-199,-3,-50,0,0,0,-,-,-,-,-,,,,,,,,,
Troy Johnson,269,13,249,20.69,108,-21,275,82,0,0,0,-,-,-,-,-,,,,,,,,,
TS Chisoro,26,3,30,8.67,87,-70,18,46,182,2,150,91,121,0.16,37.37,87,,,,,,,,,
TS Kamunhukamwe,146,8,150,18.25,97,-32,149,74,0,0,0,-,-,-,-,-,,,,,,,,,
TS Muyeye,81,7,68,11.57,119,-41,61,67,0,0,0,-,-,-,-,-,,,,,,,,,
Tushar Deshpande,21,1,12,21,175,24,19,116,245,4,144,61.25,170,0.54,46.12,71,,,,,,,,,
Tyler Lortan,23,1,33,23,70,-44,29,65,0,0,0,-,-,-,-,-,,,,,,,,,
Tymal Mills,83,12,93,6.92,89,-86,43,34,2787,137,2144,20.34,130,-0.07,31.51,103,,,,,,,,,
Umaid Asif,140,8,87,17.5,161,6,119,102,1284,51,954,25.18,135,0.04,33.15,98,,,,,,,,,
Umair Masood,22,1,28,22,79,-40,26,68,0,0,0,-,-,-,-,-,,,,,,,,,
Umar Akmal,599,29,451,20.66,133,-4,573,95,0,0,0,-,-,-,-,-,,,,,,,,,
Umar Amin,393,15,347,26.2,113,-11,419,90,0,0,0,-,-,-,-,-,,,,,,,,,
Umar Gul,12,2,9,6,133,-102,3,22,84,9,72,9.33,117,-0.57,17.97,181,,,,,,,,,
Umar Siddiq,169,6,150,28.17,113,-9,184,91,0,0,0,-,-,-,-,-,,,,,,,,,
Umer Khan,3,2,8,1.5,38,-210,-6,-58,368,17,288,21.65,128,-0.06,30.59,107,,,,,,,,,
Umesh Yadav,95,11,95,8.64,100,-67,61,48,1730,71,1269,24.37,136,0.05,33.68,97,,,,,,,,,
Umran Malik,4,1,8,4,50,-122,1,7,503,25,367,20.12,137,-0.02,33.11,98,,,,,,,,,
Unmukt Chand,35,2,30,17.5,117,-23,33,81,0,0,0,-,-,-,-,-,,,,,,,,,
Usama Mir,15,2,16,7.5,94,-79,8,39,293,10,197,29.3,149,0.19,36.28,90,,,,,,,,,
Usman Arshad,56,2,53,28,106,-16,61,86,166,4,131,41.5,127,0.09,35.48,92,,,,,,,,,
Usman Ghani,335,10,307,33.5,109,-8,379,92,0,0,0,-,-,-,-,-,,,,,,,,,
Usman Khan,150,5,123,30,122,0,162,98,0,0,0,-,-,-,-,-,,,,,,,,,
Usman Khawaja,1255,40,918,31.38,137,12,1318,107,0,0,0,-,-,-,-,-,,,,,,,,,
Usman Qadir,66,5,59,13.2,112,-38,55,70,931,43,702,21.65,133,-0.03,31.63,103,,,,,,,,,
Usman Shinwari,59,7,59,8.43,100,-69,37,46,1498,64,1146,23.41,131,-0.02,32.06,102,,,,,,,,,
V Kelley,5,1,10,5,50,-107,2,18,0,0,0,-,-,-,-,-,,,,,,,,,
V Permaul,0,0,0,-,-,-,-,-,6,0,3,-,200,1,71.55,46,,,,,,,,,
Varun Aaron,8,2,27,4,30,-109,6,16,376,13,264,28.92,142,0.15,36.98,88,,,,,,,,,
Varun Chakravarthy,24,3,39,8,62,-83,19,36,1264,45,1089,28.09,116,-0.07,30.39,107,,,,,,,,,
Varun Chopra,969,30,718,32.3,135,11,1021,106,0,0,0,-,-,-,-,-,,,,,,,,,
Venkatesh Iyer,685,24,539,28.54,127,2,721,100,186,9,130,20.67,143,0.01,32.51,100,,,,,,,,,
VG Arora,5,2,13,2.5,38,-150,-2,-14,161,4,107,40.25,150,0.29,39.13,83,,,,,,,,,
Vijay Shankar,789,31,645,25.45,122,-5,813,94,449,17,340,26.41,132,0.03,34.34,95,,,,,,,,,
Vinay Kumar,6,0,3,-,200,99,7,172,85,4,41,21.25,207,0.48,46.03,71,,,,,,,,,
Virat Kohli,4042,109,3074,37.08,131,11,4382,106,0,0,0,-,-,-,-,-,,,,,,,,,
Virat Singh,15,3,26,5,58,-108,6,17,0,0,0,-,-,-,-,-,,,,,,,,,
Vishnu Vinod,19,3,26,6.33,73,-93,10,29,0,0,0,-,-,-,-,-,,,,,,,,,
W Madhevere,405,17,344,23.82,118,-10,416,90,155,3,132,51.67,117,0.05,34.86,94,,,,,,,,,
W McClintock,24,1,21,24,114,-11,25,90,0,0,0,-,-,-,-,-,,,,,,,,,
W O'Rourke,10,1,8,10,125,-51,6,60,52,0,42,-,124,0.27,37.99,86,,,,,,,,,
W Parker,41,2,28,20.5,146,3,38,100,137,1,78,137,176,0.68,48.72,67,,,,,,,,,
W Prestwidge,23,1,19,23,121,-7,24,93,91,4,56,22.75,162,0.2,37.28,87,,,,,,,,,
W Sanders,0,0,0,-,-,-,-,-,25,0,12,-,208,1.1,59.88,54,,,,,,,,,
Wahab Riaz,412,34,304,12.12,136,-31,306,75,2308,121,1922,19.07,120,-0.16,29,112,,,,,,,,,
Wanindu Hasaranga,368,28,313,13.14,118,-35,301,72,1169,75,1024,15.59,114,-0.28,25.08,130,,,,,,,,,
Waqar Salamkheil,0,0,0,-,-,-,-,-,38,0,18,-,211,1.1,58.06,56,,,,,,,,,
Waqas Maqsood,21,4,25,5.25,84,-109,6,17,601,31,432,19.39,139,-0.03,31.93,102,,,,,,,,,
Warren Barnes,1,2,5,0.5,20,-318,-9,-139,163,7,108,23.29,151,0.13,35.5,92,,,,,,,,,
Washington Sundar,364,29,295,12.55,123,-35,284,72,1777,58,1497,30.64,119,-0.03,31.59,103,,,,,,,,,
Wayne Madsen,1893,47,1291,40.28,147,25,2025,117,622,21,468,29.62,133,0.07,33.72,97,,,,,,,,,
Wayne Parnell,398,22,323,18.09,123,-17,370,85,1128,40,793,28.2,142,0.13,35.55,92,,,,,,,,,
Wes Agar,46,6,47,7.67,98,-77,26,40,1039,50,757,20.78,137,-0.01,32.94,99,,,,,,,,,
WIA Fernando,291,25,307,11.64,95,-52,244,59,0,0,0,-,-,-,-,-,,,,,,,,,
Wiaan Mulder,176,7,134,25.14,131,0,177,98,216,10,162,21.6,133,-0.03,32.63,100,,,,,,,,,
Will Beer,73,7,74,10.43,99,-58,55,55,894,34,660,26.29,135,0.05,33.25,98,,,,,,,,,
Will Davis,13,4,28,3.25,46,-136,-1,-4,473,17,335,27.82,141,0.11,35.15,93,,,,,,,,,
Will Fraine,370,16,247,23.12,150,11,352,106,0,0,0,-,-,-,-,-,,,,,,,,,
Will Jacks,1374,52,922,26.42,149,16,1361,110,393,19,348,20.68,113,-0.18,27.47,119,,,,,,,,,
Will Rhodes,479,27,365,17.74,131,-13,432,88,399,22,282,18.14,141,-0.05,31.34,104,,,,,,,,,
Will Smeed,999,34,713,29.38,140,13,1029,107,0,0,0,-,-,-,-,-,,,,,,,,,
Will Smith,154,9,138,17.11,112,-26,145,78,106,5,96,21.2,110,-0.19,27.19,120,,,,,,,,,
Will Sutherland,116,16,112,7.25,104,-82,55,37,494,14,315,35.29,157,0.31,40.18,81,,,,,,,,,
Will Williams,72,3,51,24,141,6,70,102,749,36,485,20.81,154,0.09,35,93,,,,,,,,,
Will Young,1094,34,778,32.18,141,15,1138,109,0,0,0,-,-,-,-,-,,,,,,,,,
Willem Ludick,144,7,101,20.57,143,-1,131,97,133,3,90,44.33,148,0.27,38.63,84,,,,,,,,,
William Bosisto,102,7,104,14.57,98,-40,95,68,44,1,36,44,122,0.07,33.23,98,,,,,,,,,
William Buttleman,149,9,125,16.56,119,-21,137,82,0,0,0,-,-,-,-,-,,,,,,,,,
William O'Donnell,216,7,178,30.86,121,-1,232,97,0,0,0,-,-,-,-,-,,,,,,,,,
William Porterfield,242,11,193,22,125,-9,236,91,0,0,0,-,-,-,-,-,,,,,,,,,
William Somerville,189,6,133,31.5,142,15,195,109,940,34,695,27.65,135,0.07,33.86,96,,,,,,,,,
WJ Lubbe,16,2,10,8,160,-58,7,55,0,0,0,-,-,-,-,-,,,,,,,,,
WP Masakadza,47,5,47,9.4,100,-65,31,49,330,14,302,23.57,109,-0.17,28.75,113,,,,,,,,,
Wriddhiman Saha,1100,42,892,26.19,123,-3,1144,95,0,0,0,-,-,-,-,-,,,,,,,,,
WU Tharanga,254,14,190,18.14,134,-9,232,91,0,0,0,-,-,-,-,-,,,,,,,,,
Xavier A Crone,1,1,4,1,25,-221,-4,-67,29,0,18,-,161,0.61,46.13,71,,,,,,,,,
Xavier Bartlett,131,4,112,32.75,117,-3,143,95,488,23,373,21.22,131,-0.05,31.86,102,,,,,,,,,
Xavier Doherty,0,0,0,-,-,-,-,-,30,0,18,-,167,0.67,47.71,68,,,,,,,,,
Yash Dayal,0,1,1,0,0,-703,-6,-426,281,11,192,25.55,146,0.13,36.37,90,,,,,,,,,
Yashasvi Jaiswal,542,23,403,23.57,134,2,539,100,6,0,1,-,600,4.87,148.48,22,,,,,,,,,
Yasir Ali Chowdhury,8,0,7,-,114,17,10,110,0,0,0,-,-,-,-,-,,,,,,,,,
Yasir Khan,81,4,56,20.25,145,4,76,101,0,0,0,-,-,-,-,-,,,,,,,,,
Yasir Shah,51,11,63,4.64,81,-122,6,7,796,33,709,24.12,112,-0.14,28.75,113,,,,,,,,,
Yusuf Pathan,443,19,359,23.32,123,-7,446,92,56,2,36,28,156,0.22,36.85,88,,,,,,,,,
Yuvraj Singh,445,21,350,21.19,127,-7,434,92,31,2,18,15.5,172,-0.01,32.63,100,,,,,,,,,
Yuzvendra Chahal,39,8,94,4.88,41,-106,24,19,3831,175,3055,21.89,125,-0.08,30.58,107,,,,,,,,,
Zafar Gohar,39,2,41,19.5,95,-32,41,74,258,10,192,25.8,134,0.04,34.87,93,,,,,,,,,
Zaheer Khan,4,1,13,4,31,-110,3,16,308,12,241,25.67,128,-0.01,31.78,103,,,,,,,,,
Zahid Mahmood,23,2,38,11.5,61,-67,24,48,327,11,203,29.73,161,0.28,38.95,84,,,,,,,,,
Zahir Khan,41,5,46,8.2,89,-74,26,43,1033,39,887,26.49,116,-0.09,31.02,105,,,,,,,,,
Zahoor Khan,0,0,0,-,-,-,-,-,22,0,6,-,367,2.62,98.39,33,,,,,,,,,
Zak Chappell,80,6,61,13.33,131,-28,63,77,555,28,391,19.82,142,-0.01,33.29,98,,,,,,,,,
Zak Crawley,1021,35,698,29.17,146,17,1037,111,0,0,0,-,-,-,-,-,,,,,,,,,
Zak Evans,8,2,9,4,89,-142,-1,-8,278,13,168,21.38,165,0.19,36.63,89,,,,,,,,,
Zak Gibson,25,2,25,12.5,100,-47,21,63,189,6,138,31.5,137,0.11,35.45,92,,,,,,,,,
Zakir Hasan,10,1,9,10,111,-55,7,57,0,0,0,-,-,-,-,-,,,,,,,,,
Zaman Khan,1,0,5,-,20,-73,3,44,368,20,281,18.4,131,-0.11,30.57,107,,,,,,,,,
Zeeshan Ashraf,208,12,160,17.33,130,-13,189,88,0,0,0,-,-,-,-,-,,,,,,,,,
Zeeshan Zameer,0,0,0,-,-,-,-,-,16,1,15,16,107,-0.31,25.61,127,,,,,,,,,
Ziaur Rahman,0,0,0,-,-,-,-,-,40,3,24,13.33,167,-0.08,31.57,103,,,,,,,,,
Zohaib Khan,0,0,0,-,-,-,-,-,13,0,6,-,217,1.16,59.32,55,,,,,,,,,
Zulfiqar Babar,1,2,3,0.5,33,-469,-10,-251,166,8,168,20.75,99,-0.27,26.03,125,,,,,,,,,
