Name,Runs,Wickets,Balls Faced,Average,Strike Rate,wSR,wRC,wRC+,Runs Against,Wickets Taken,Balls Bowled,Bowling Average,Strike Rate Against,Bowling wSR,cAA,cAA+
AJ Blackwell,1034,33,950,31.33,109,11,1124,106,0,0,0,-,-,-,-,-
AJ Healy,2993,108,2183,27.71,137,31,3019,124,0,0,0,-,-,-,-,-
AJ Kenealy,0,1,1,0,0,-634,-5,-473,46,0,36,-,128,0.5,39.67,68
AK Peters,7,1,16,7,44,-65,7,37,40,1,36,40,111,0.17,36.51,74
AL Kerrison,0,0,0,-,-,-,-,-,39,0,30,-,130,0.51,38,71
Alisha Rout,16,1,24,16,67,-33,18,67,0,0,0,-,-,-,-,-
Aliya Riaz,420,23,447,18.26,94,-12,423,85,422,15,336,28.13,126,0.22,32.56,82
Allie Mace-Cochrane,8,1,8,8,100,-47,5,54,0,0,0,-,-,-,-,-
AM Ewart,14,4,24,3.5,58,-111,-1,-4,0,0,0,-,-,-,-,-
Amanda-Jade Wellington,509,37,388,13.76,131,-3,404,93,1748,94,1590,18.6,110,-0.02,25.97,103
Amelia Kerr,921,38,771,24.24,119,13,924,108,1636,99,1788,16.53,91,-0.17,22.36,120
Amy Satterthwaite,2046,69,1890,29.65,108,10,2207,105,731,41,656,17.83,111,-0.03,25.87,104
AN Davidson-Richards,28,3,34,9.33,82,-45,21,56,42,0,24,-,175,0.96,50.8,53
AN Kelly,54,7,64,7.71,84,-55,33,47,254,18,287,14.11,89,-0.24,22.29,120
Anam Amin,3,1,8,3,38,-107,0,0,474,19,470,24.95,101,0.01,26.52,101
Anlo van Deventer,136,8,131,17,104,-9,129,88,0,0,0,-,-,-,-,-
Anna Peterson,331,23,318,14.39,104,-14,297,84,580,39,582,14.87,100,-0.16,22.24,121
AR Reakes,439,38,461,11.55,95,-28,363,71,102,3,78,34,131,0.3,36,75
Ashtuti Kumar,7,1,8,7,88,-62,4,40,101,1,72,101,140,0.53,38.71,69
ASS Fletcher,48,9,78,5.33,62,-79,22,25,613,30,606,20.43,101,-0.05,24.97,107
AT Hucker,0,0,0,-,-,-,-,-,27,0,18,-,150,0.71,42.62,63
Ayasha Rahman,173,14,224,12.36,77,-34,163,65,0,0,0,-,-,-,-,-
Ayesha Naseem,117,3,86,39,136,35,123,128,0,0,0,-,-,-,-,-
Ayesha Zafar,50,6,70,8.33,71,-52,39,50,0,0,0,-,-,-,-,-
B Cooper,209,18,250,11.61,84,-33,186,67,0,0,0,-,-,-,-,-
B Hepburn,80,13,101,6.15,79,-73,35,31,773,31,678,24.94,114,0.1,29.15,92
B Herath,2,1,4,2,50,-167,-2,-53,35,1,24,35,146,0.42,36.86,73
B Vakarewa,28,6,40,4.67,70,-92,6,14,977,43,982,22.72,99,-0.02,26.42,102
BC Molony,0,0,0,-,-,-,-,-,12,0,12,-,100,0.22,30.88,87
